name,salary_from,salary_to,salary_currency,area_name,published_at
Программист на С++,2000.0,,USD,Москва,2007-02-26T13:03:46+0300
Инструктор по Cisco,1700.0,2500.0,USD,Москва,2007-02-26T18:47:12+0300
Менеджер по продажам,1000.0,,USD,Москва,2007-04-09T10:02:17+0400
Менеджер по продаже услуг подготовки персонала,800.0,,USD,Москва,2007-01-09T17:03:16+0300
Менеджер по продажам проектов по дистанционному обучению,1200.0,,USD,Москва,2007-01-09T17:03:16+0300
Ведущий консультант в компанию-разработчик банковского ПО,,2000.0,USD,Москва,2007-05-07T11:37:10+0400
Аналитик-архитектор / консультант,1500.0,2000.0,USD,Москва,2007-05-07T11:37:10+0400
Системный администратор,1500.0,2000.0,USD,Москва,2007-03-27T13:14:29+0400
Service Engineer (MCSE/ MCSA) в ведущую международную IT-компанию,2000.0,3000.0,USD,Москва,2007-01-10T13:03:25+0300
Product Manager,1800.0,2500.0,USD,Москва,2007-02-09T11:40:33+0300
"Senior Solution Engineer Russia, Contact/Call Centers",5000.0,,USD,Москва,2007-01-10T13:04:51+0300
Product Marketing Manager PC (Менеджер по продуктовому маркетингу по направлению ПК),2700.0,3300.0,USD,Москва,2007-02-09T11:40:33+0300
Менеджер по продуктовому маркетингу (Product Marketing Manager),3000.0,4000.0,USD,Москва,2007-02-09T11:40:33+0300
HTML-верстальщик в Web-студию,550.0,740.0,USD,Москва,2007-04-04T09:54:40+0400
Разработчик \ администратор БД (MS SQL),1600.0,,USD,Москва,2007-03-05T20:30:01+0300
Менеджер по продажам,600.0,1000.0,USD,Москва,2007-01-10T13:07:32+0300
Технический специалист,400.0,1100.0,USD,Москва,2007-01-10T13:08:41+0300
Технический специалист,400.0,1100.0,USD,Москва,2007-01-10T13:09:29+0300
Менеджер по продажам (без поиска клиентов),800.0,,USD,Москва,2007-02-26T10:59:27+0300
Менеджер по работе с клиентами,660.0,,USD,Москва,2007-02-26T10:59:27+0300
Специалист по работе с постоянными клиентами,640.0,1500.0,USD,Москва,2007-02-26T10:59:28+0300
Специалист по сервисному обслуживанию,650.0,1500.0,USD,Москва,2007-02-26T10:59:29+0300
Программист 1-С,1700.0,2000.0,USD,Москва,2007-03-02T18:14:49+0300
Менеджер по продажам,400.0,800.0,USD,Москва,2007-01-10T13:28:59+0300
Менеджер по продажам,400.0,800.0,USD,Москва,2007-01-10T13:29:34+0300
Менеджер (инженер-консультант),500.0,700.0,USD,Москва,2007-02-04T17:40:23+0300
Программист,1000.0,2000.0,USD,Московская область - Восток,2007-03-22T10:41:19+0300
Ведущий специалист по автоматизации учета в SAP\R3,2000.0,2500.0,USD,Москва,2007-01-10T13:35:22+0300
Менеджер по продажам,600.0,1000.0,USD,Москва,2007-01-10T13:37:31+0300
Оператор ПК,400.0,450.0,USD,Москва,2007-01-10T13:39:17+0300
Менеджер по работе с клиентами,600.0,1000.0,USD,Москва,2007-01-10T13:53:13+0300
CRM-менеджер,1500.0,2000.0,USD,Москва,2007-01-10T13:53:46+0300
Переводчик технической документации (русский/английский),800.0,,USD,Москва,2007-01-10T14:00:22+0300
Заместитель начальника отдела IT,,2500.0,USD,Москва,2007-01-10T14:07:13+0300
