name,salary_from,salary_to,salary_currency,area_name,published_at
Разработчик на языке smalltalk,,2000.0,USD,Москва,2004-06-08T00:00:00+0400
Менеджер проекта СКС,,900.0,USD,Москва,2004-06-01T00:00:00+0400
Монтажник СКС,,600.0,USD,Москва,2004-06-01T00:00:00+0400
Инженер в департамент технической поддержки /Service&Software,,1.0,USD,Москва,2004-05-07T00:00:00+0400
Специалист по технической поддержке IP-сети,,1400.0,USD,Москва,2004-05-07T11:58:51+0400
Ведущий специалист по сопровождению программного продукта,,800.0,USD,Москва,2004-05-07T12:14:25+0400
Специалист по качеству аудио/видео техники,,1200.0,USD,Москва,2004-06-01T00:00:00+0400
Ведущий специалист управления разработки,,850.0,USD,Москва,2004-05-07T12:38:41+0400
Web Developer,,1200.0,USD,Москва,2004-08-02T11:29:09+0400
Test Developer,,1200.0,USD,Москва,2004-08-02T11:29:52+0400
Помощник системного администратора,,430.0,USD,Москва,2004-05-11T11:12:48+0400
Менеджер по продаже услуг связи международным операторам(IK-MUS),,2000.0,USD,Москва,2004-07-30T09:42:42+0400
Account director (вакансия от БЛМ-Консорт),,3500.0,USD,Москва,2004-08-11T11:14:50+0400
Специалист по обслуживанию 1С Бухгалтерия 7.7,,650.0,USD,Москва,2004-05-11T13:11:39+0400
Websphere Sales Manager,,4000.0,USD,Москва,2004-05-11T13:16:36+0400
РУКОВОДИТЕЛЬ ПРОЕКТОВ ПО СИСТЕМАМ ЭЛЕКТРОННОГО ДОКУМЕНТООБОРОТА,,1200.0,USD,Москва,2004-05-20T00:00:00+0400
Team Leader - SAP R/3 - MM,,4000.0,USD,Москва,2004-05-11T13:17:43+0400
"Consultant SAP R/3 - FI, CO",,3000.0,USD,Москва,2004-05-11T13:18:01+0400
"Консультант по внедрению MBS Axapta (производство, логистика)",,2000.0,USD,Москва,2004-05-11T14:40:15+0400
Консультант по внедрению MBS Axapta (финансы),,2000.0,USD,Москва,2004-05-11T14:42:43+0400
"Продакт-менеджер (направление флэш, память)",,3000.0,USD,Москва,2004-05-11T15:49:20+0400
Программист,,1200.0,USD,Москва,2004-05-11T20:49:37+0400
Системный администратор,,600.0,USD,Москва,2004-05-11T22:15:53+0400
Account Manager,,4000.0,USD,Москва,2004-05-12T09:36:53+0400
Разработчик инструкций для АС,,700.0,USD,Москва,2004-05-12T11:16:51+0400
Программист,,1000.0,USD,Москва,2004-07-05T09:52:33+0400
Оператор ПК,,450.0,USD,Москва,2004-05-12T12:37:14+0400
Менеджер по работе с сетевыми магазинами,,2000.0,USD,Москва,2004-05-12T14:15:31+0400
Менеджер по продажам в корпоративный отдел,,2000.0,USD,Москва,2004-05-12T14:23:36+0400
Программист PL/SQL. Код вакансии НВ-прог,,1500.0,USD,Москва,2004-06-28T11:58:35+0400
Программист С. Код вакансии НВ-прогС.,,1500.0,USD,Москва,2004-06-28T11:57:07+0400
"Инженер службы сопровождения. Код вакансии: ""НВ-ИСС""",,1100.0,USD,Москва,2004-06-10T14:44:41+0400
IS Project Coordinator,,1700.0,USD,Москва,2004-05-12T15:08:33+0400
Программист VFP,,800.0,USD,Москва,2004-05-12T17:27:57+0400
Ассистент в отдел прямых продаж,,500.0,USD,Москва,2004-06-07T00:00:00+0400
Менеджер по работе с корпоративными клиентами,,1500.0,USD,Москва,2004-06-07T00:00:00+0400
Программист,,1500.0,USD,Москва,2004-06-10T00:00:00+0400
"Специалист по ""Банк-Клиент""",,900.0,USD,Москва,2004-08-02T14:58:30+0400
Помощник руководителя проектов,,1500.0,USD,Москва,2004-05-13T12:08:00+0400
Специалист по привлечению клиентов,,500.0,USD,Москва,2004-07-19T12:29:07+0400
Менеджер по продукту (мультимедиа услуги пользователям сотовой связи),,1111.0,USD,Москва,2004-05-13T13:14:59+0400
Специалист по электронным платежным системам,,600.0,USD,Москва,2004-05-31T00:00:00+0400
Инженер-программист управления разработки WorkFlow,,1200.0,USD,Москва,2004-05-13T13:23:44+0400
Начальник отдела маркетинговых коммуникаций,,2000.0,USD,Москва,2004-05-13T13:37:04+0400
Менеджер по корпоративным продажам продукции Dell,,2500.0,USD,Москва,2004-05-13T13:45:10+0400
